pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
414.191124,236.991734,214.606742,313.326497,277.860000,316.010000,436.356198,262.766012,420.655375,400.767967,333.903389,388.961804,277.356886,281.535366
408.728581,243.418687,214.327802,316.354110,276.460000,317.990000,439.476503,265.000457,420.301472,404.406306,333.903389,390.795991,277.356886,282.257656
406.820932,246.174954,214.048862,320.030497,274.820000,319.910000,435.375204,266.211764,420.301472,404.508945,333.903389,392.263342,277.356886,285.387581
403.162704,249.914949,213.212043,322.625594,273.510000,322.160000,437.523504,268.937202,420.301472,408.922383,332.957060,394.097529,277.356886,286.350635
397.146169,256.417026,212.375223,325.436949,272.350000,324.130000,440.453003,271.056988,419.639535,411.898888,332.957060,394.464367,276.735790,288.517506
393.135145,262.071006,211.817344,327.167013,268.280764,329.063961,440.453003,272.268294,419.507148,415.285946,332.483896,395.564880,275.493598,290.925140
390.035718,268.573084,210.422644,330.410884,264.869366,332.513711,439.867103,274.993733,419.280000,418.420000,332.483896,397.765905,274.251406,293.814301
389.306441,274.509763,208.749005,332.789723,260.271394,336.653411,440.062403,279.081892,418.900000,421.200000,332.483896,398.866418,273.630310,295.258882
387.847887,280.446442,205.122788,337.979917,256.312254,341.232594,441.429503,284.381356,418.840000,423.800000,332.483896,401.067443,272.698666,297.907279
385.113099,287.655267,202.612329,343.170110,252.843802,343.182149,444.359002,286.652555,419.120000,426.230000,332.483896,401.801118,272.685939,303.752288
385.752077,298.367537,200.938690,346.846497,251.456422,345.400608,444.359002,291.952019,418.830000,428.830000,331.537567,403.268468,272.685939,303.752288
386.728540,310.142931,200.380810,348.576562,250.936154,346.408998,448.383100,296.299259,418.759252,432.230589,330.591239,405.836331,272.685939,303.752288
385.972170,319.525374,200.659750,352.252949,248.768371,350.778690,447.468664,300.269375,419.177661,433.447040,330.591239,406.936844,270.747203,306.457822
382.190321,320.111777,201.775510,356.361852,249.191587,353.456893,448.383100,305.373809,418.654649,435.798847,329.644910,412.806244,269.971709,308.562126
379.164842,325.536002,203.170209,359.173207,247.482633,355.444285,450.029085,307.217077,417.922432,437.339686,329.171746,415.007270,269.971709,308.862741
377.757880,328.632037,203.170209,360.470756,246.438272,356.033142,450.760633,311.612562,418.131637,439.772589,329.171746,419.409320,269.196214,311.568274
376.308593,333.608032,203.449149,361.984562,243.969783,360.228747,450.760633,314.448359,418.200743,443.199229,329.171746,420.142995,268.808467,313.071349
372.478333,338.102479,199.822931,371.283659,240.741758,364.203530,450.943521,318.418474,418.200743,443.327382,328.698581,421.977183,268.032973,315.776882
374.695488,344.399217,198.986111,373.446240,237.988443,366.779779,454.052603,320.545322,419.192529,446.082670,328.225417,424.911884,267.257479,317.881186
376.763563,353.217638,198.428232,375.608821,237.513733,368.178313,456.247250,326.500495,419.109880,447.620506,328.225417,426.379234,266.481984,319.384260
376.246544,360.432709,200.317340,379.110060,235.235128,371.490633,458.259009,332.030298,418.940000,450.420000,327.752253,426.379234,265.318743,321.789179
372.627412,367.246943,197.298900,383.970378,232.386871,375.170988,460.689371,337.211629,419.030000,452.990000,327.752253,427.112909,265.318743,322.991639
371.923186,374.824233,194.744836,387.660620,231.247568,379.072164,461.374425,341.460527,418.930000,455.840000,327.752253,430.047609,265.318743,324.494713
371.452196,377.176560,193.921304,392.345279,229.980000,382.270000,462.744532,344.381644,419.000000,458.980000,327.880000,432.040000,262.604512,329.905780
